Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
"1,3-Isobenzofurandione, Reaction Products With Methylquinoline And Quinoline (Solvent Yellow 33",8003-22-3,No,No,Yes,,(EC) 2013/344
"1,3-Propanesultone",1120-71-4,No,Yes,Yes,,(EC) 2009/1223
"1,4 -Diamino-2-Methoxy-9,10-Anthracenedione  And Its Salts",2872-48-2,No,Yes,No,,
"1,4,5,8-Tetraaminoanthraquinone (Disperse Blue 1)",2475-45-8,No,No,Yes,,(EC) 2009/1223
"1,4-Benzenediamine, N,N'-Mixed Ph And Tolyl Derivs.",68953-84-4,No,No,Yes,,(EU) 2025/877
"1,4-Bis(P-Tolylamino)Anthraquinone (Solvent Green 3",128-80-3,No,No,Yes,,(EC) 2013/344
"1,4-Diamino-2-Methoxy-9,10-Anthracenedione (Disperse Red 11) And Its Salts, When Used As A Substance In Hair Dye Products",2872-48-2,No,No,Yes,,(EC) 2009/1223
"1,4-Dichloro-2-Nitrobenzene",89-61-2,No,No,Yes,,(EU) 2026/78
"1,4-Dichlorobenzene",106-46-7,No,Yes,No,,
"1,4-Dichlorobenzene (P-Dichlorobenzene)",106-46-7,No,No,Yes,,(EC) 2009/1223
"1,4-Dichlorobut-2-Ene",764-41-0,No,No,Yes,,(EC) 2009/1223
"1,4-Dihydroxy-5,8-Bis[(2-Hydroxyethyl)Amino]Anthraquinone (Disperse Blue 7) And Its Salts, When Used As A Substance In Hair Dye Products",3179-90-6,No,No,Yes,,(EC) 2009/1223
"1,4-Dihydroxy-5,8-Bis[Amino]Anthraquinone  And Its Salts",3179-90-6,No,Yes,No,,
"1,4-Dihydroxybenzene (Hydroquinone), With The Exception Of Entry 14 In Annex Iii",123-31-9,No,No,Yes,,(EC) 2013/344
"1,7-Naphthalenediol",575-38-2,No,Yes,No,,
"1,7-Naphthalenediol, When Used As A Substance In Hair Dye Products",575-38-2,No,No,Yes,,(EC) 2009/1223
1- And 2-Naphthylamines And Their Salts,"91-59-8, 134-32-7",No,No,Yes,,(EC) 2009/1223
1-((4-Phenylazo)Phenylazo)-2-Naphthol (Solvent Red 23,85-86-9,No,No,Yes,,(EC) 2013/344
1-(1-Naphthylmethyl)Quinolinium Chloride,65322-65-8,No,No,Yes,,(EC) 2009/1223
"1-(2-Amino-5-Chlorophenyl)-2,2,2-Trifluoro-1,1-Ethanediol, Hydrochloride",214353-17-0,No,No,Yes,,(EU) 2019/831
1-(2-Chloro-4-Pyridyl)-3-Phenylurea,68157-60-8,No,No,Yes,,(EU) 2019/831
"1-(4,6-Dimethoxypyrimidin-2-Yl)-3-(2-Dimethylcarbamoyl-5-Formamidophenylsulfonyl)Urea",173159-57-4,No,No,Yes,,(EU) 2025/877
"1-(4-Chlorophenyl)-4,4-Dimethyl-3-(1,2,4-Triazol-1-Ylmethyl)Pentan-3-Ol",107534-96-3,No,No,Yes,,(EC) 2009/1223
"1-(4-Methoxyphenyl)-1-Pentene-3-One (Alpha-Methylanisylideneacetone), When Used As A Fragrance Ingredient",104-27-8,No,No,Yes,,(EC) 2009/1223
"1-({2-[2-Chloro-4-(4-Chlorophenoxy)Phenyl]-4-Methyl-1,3-Dioxolan-2-Yl}Methyl)-1H-1,2,4-Triazole",119446-68-3,No,No,Yes,,(EU) 2025/877
"1-Amino-4-(Methylamino)-9,10-Anthracenedione (Disperse Violet 4) And Its Salts, When Used As A Substance In Hair Dye Products",1220-94-6,No,No,Yes,,(EC) 2009/1223
"1-Amino-4--9,10-Anthracenedione  And Its Salt",1220-94-6,No,Yes,No,,
"1-Amino-4-[[4-[(Dimethylamino)Methyl]Phenyl]Amino]Anthraquinone And Its Salts, When Used As A Substance In Hair Dye Products","67905-56-0, 12217-43-5",No,No,Yes,,(EC) 2009/1223
1-Amino-4-[[4-[Methyl]Phenyl]Amino]Anthraquinone And Its Salts,67905-56-0/12217-43-5,No,Yes,No,,
1-And 2-Naphthylamines And Their Salts,91-59-8/134-32-7,No,Yes,No,,
1-Bromo-2-Methylpropyl Propionate,158894-67-8,No,No,Yes,,(EU) 2019/831
"1-Bromo-3,4,5-Trifluorobenzene",138526-69-9,No,No,Yes,,(EC) 2009/1223
1-Bromopropane,106-94-5,No,No,Yes,,(EC) 2009/1223
1-Bromopropane; N-Propyl Bromide,106-94-5,No,Yes,No,,
1-Butyl-3-(N-Crotonoylsulphanilyl)Urea,52964-42-8,No,No,Yes,,(EC) 2009/1223
"1-Chloro-2,3-Epoxypropane",106-89-8,No,Yes,No,,
"1-Chloro-2,3-Epoxypropane (Epichlorohydrin)",106-89-8,No,No,Yes,,(EC) 2009/1223
1-Chloro-4-Nitrobenzene,100-00-5,No,No,Yes,,(EC) 2009/1223
"1-Cyclopropyl-6,7-Difluoro-1,4-Dihydro-4-Oxoquinoline-3-Carboxylic Acid",93107-30-3,No,No,Yes,,(EU) 2019/831
1-Dimethylaminomethyl-1-Methylpropyl Benzoate (Amylocaine) And Its Salts,644-26-8,No,No,Yes,,(EC) 2009/1223
1-Ethyl-1-Methylmorpholinium Bromide,65756-41-4,No,No,Yes,,(EC) 2009/1223
1-Ethyl-1-Methylpyrrolidinium Bromide,69227-51-6,No,No,Yes,,(EC) 2009/1223
1-Ethylpyrrolidin-2-One,2687-91-4,No,No,Yes,,(EU) 2019/831
"1-Hydroxy-2,4-Diaminobenzene (2,4-Diaminophenol) And Its Dihydrochloride Salts (2,4-Diaminophenol Hcl) When Used As A Substance In Hair Dye Products","95-86-3, 137-09-7",No,No,Yes,,(EC) 2013/344
1-Hydroxy-4-(P-Toluidino)Anthraquinone (Solvent Violet 13,81-48-1,No,No,Yes,,(EC) 2013/344
"1-Methoxy-2,4-Diaminobenzene  And Its Salts",615-05-4,No,Yes,No,,
"1-Methoxy-2,4-Diaminobenzene (2,4-Diaminoanisole - Ci 76050) And Its Salts",615-05-4,No,No,Yes,,(EC) 2009/1223
"1-Methoxy-2,5-Diaminobenzene  And Its Salts",5307-02-8,No,Yes,No,,
"1-Methoxy-2,5-Diaminobenzene (2,5-Diaminoanisole) And Its Salts",5307-02-8,No,No,Yes,,(EC) 2009/1223
"1-Methyl-2,4,5-Trihydroxybenzene And Its Salts",1124-09-0,No,Yes,No,,
"1-Methyl-2,4,5-Trihydroxybenzene And Its Salts, When Used As A Substance In Hair Dye Products",1124-09-0,No,No,Yes,,(EC) 2009/1223
1-Methyl-2-Pyrrolidone,872-50-4,No,No,Yes,,(EU) 2019/831
1-Methyl-3-Nitro-1-Nitrosoguanidine,70-25-7,No,Yes,Yes,,(EC) 2009/1223
1-Vinyl-2-Pyrrolidone,88-12-0,No,Yes,Yes,,(EC) 2009/1223
1-Vinylimidazole,1072-63-5,No,No,Yes,,(EU) 2019/1966
1-[(2-Chloro-4-Nitrophenyl)Azo]-2-Naphthol (Pigment Red 4,2814-77-9,No,No,Yes,,(EC) 2013/344
"1-[(3-Aminopropyl)Amino]-4-(Methylamino)Anthraquinone And Its Salts, When Used As A Substance In Hair Dye Products",22366-99-0,No,No,Yes,,(EC) 2009/1223
"1-[2-(2,4-Dichlorophenyl)Pentyl]-1H-1,2,4-Triazole",66246-88-6,No,No,Yes,,(EU) 2019/831
"1-[2-(Allyloxy)-2-(2,4-Dichlorophenyl)Ethyl]-1H-Imidazole",35554-44-0,No,No,Yes,,(EU) 2019/831
"1-[4-[4-[[(2Sr,4Rs)-2-(2,4-Dichlorophenyl)-2-(Imidazol-1-Ylmethyl)-1,3-Dioxolan-4-Yl]Methoxy]Phenyl]Piperazin-1-Yl]Ethanone",65277-42-1,No,No,Yes,,(EU) 2019/831
1-[Amino]-4-Anthraquinone And Its Salts,22366-99-0,No,Yes,No,,
"100 Ppm In The Finished Cosmetic Product, 50 Ppm In Products For Dental And Oral Hygiene, And Provided That Safrole Is Not Present In Toothpastes Intended Specifically For Children",94-59-7,No,No,Yes,,(EC) 2009/1223
"11-Alpha-Hydroxypregn-4-Ene-3,20-Dione And Its Esters",80-75-1,No,No,Yes,,(EC) 2009/1223
"1Rs,2Sr)-1-(4-Chlorophenoxy)-3,3-Dimethyl-1-(1H-1,2,4-Triazol-1-Yl)Butan-2-Ol",55219-65-3,No,No,Yes,,(EU) 2019/831
"1Rs,2Sr,5Sr)-2-(4-Chlorobenzyl)-5-Isopropyl-1- (1H-1,2,4-Triazol-1-Ylmethyl)Cyclopentanol","125225-28-7, 115850-69-6, 115937-89-8",No,No,Yes,,(EU) 2021/1902
