retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Panax Ginseng Root Extract,panax ginseng root extract,Panax Ginseng Root Extract,84650-12-4,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Tasmannia Lanceolata Fruit/Leaf Extract,tasmannia lanceolata fruit,Tasmannia Lanceolata Fruit,,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Aspartic Acid,aspartic acid,Aspartic Acid,56-84-8,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Alanine,alanine,Alanine,302-72-7,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Glycine,glycine,Glycine,56-40-6,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Serine,serine,Serine,302-84-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Valine,valine,Valine,516-06-3,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Isoleucine,isoleucine,Isoleucine,73-32-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Proline,proline,Proline,609-36-9,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Threonine,threonine,Threonine,80-68-2,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Histidine,histidine,Histidine,71-00-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Phenylalanine,phenylalanine,Phenylalanine,150-30-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Glutamic Acid,glutamic acid,Glutamic Acid,56-86-0,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Arginine,arginine,Arginine,74-79-3,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,PCA,pca,Pca,98-79-3,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Sodium PCA,sodium pca,Sodium Pca,28874-51-3,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Sodium Lactate,sodium lactate,Sodium Lactate,72-17-3,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Fructose,fructose,Fructose,57-48-7,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Glucose,glucose,Glucose,50-99-7,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Sucrose,sucrose,Sucrose,57-50-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Urea,urea,Urea,57-13-6,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Hexyl Nicotinate,hexyl nicotinate,Hexyl Nicotinate,23597-82-2,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Dextrin,dextrin,Dextrin,9004-53-9,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Citric Acid,citric acid,Citric Acid,77-92-9,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Polysorbate 20,polysorbate 20,Polysorbate 20,9005-64-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Gellan Gum,gellan gum,Gellan Gum,,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Trisodium Ethylenediamine Disuccinate,trisodium ethylenediamine disuccinate,Trisodium Ethylenediamine Disuccinate,20846-91-7,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Sodium Chloride,sodium chloride,Sodium Chloride,7647-14-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Hexylene Glycol,hexylene glycol,Hexylene Glycol,107-41-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Potassium Sorbate,potassium sorbate,Potassium Sorbate,24634-61-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Sodium Benzoate,sodium benzoate,Sodium Benzoate,532-32-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Caprylyl Glycol,caprylyl glycol,Caprylyl Glycol,1117-86-8,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Aqua/Water/Eau,aqua,Aqua,,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Cetyl Ethylhexanoate,cetyl ethylhexanoate,Cetyl Ethylhexanoate,59130-69-7,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Caprylyl Methicone,caprylyl methicone,Caprylyl Methicone,17955-88-3,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Dipropylene Glycol,dipropylene glycol,Dipropylene Glycol,110-98-5,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Cetearyl Alcohol,cetearyl alcohol,Cetearyl Alcohol,67762-27-0,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Behenyl Alcohol,behenyl alcohol,Behenyl Alcohol,661-19-8,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Polyglyceryl-3 Methylglucose Distearate,polyglyceryl-3 methylglucose distearate,Polyglyceryl-3 Methylglucose Distearate,157175-98-9,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Silica,silica,Silica,7631-86-9,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
Sephora,Tower 28 SOS Daily Rescue Facial Spray,Ceramide NP,ceramide np,Ceramide Np,72968-43-5,No,No,No
