cleaned_name,cas_number,notes,region
nitroxoline  and its salts,4008-48-4,,Taiwan
pemoline  and its salts,2152-34-3,,Taiwan
"decamethylenebis salts, e. g. decamethonium bromide",541-22-0,,Taiwan
lobeline  and its salts,90-69-7,,Taiwan
coumetarol,4366-18-1,,Taiwan
dextromethorphan  and its salts,125-71-3,,Taiwan
isometheptene  and its salts,503-01-5,,Taiwan
mecamylamine,60-40-2,,Taiwan
ethylene oxide,75-21-8,,Taiwan
guaifenesin,93-14-1,,Taiwan
dicoumarol,66-76-2,,Taiwan
"phenmetrazine , its derivatives and salts",134-49-6,,Taiwan
thiamazole,60-56-0,,Taiwan
carisoprodol,78-44-4,,Taiwan
meprobamate,57-53-4,,Taiwan
tefazoline  and its salts,1082-56-0,,Taiwan
poldine metilsulfate,545-80-2,,Taiwan
hydroxyzine,68-88-2,,Taiwan
naphazoline  and its salts,835-31-4,,Taiwan
diethyl sulfate,64-67-5,,Taiwan
neostigmine and its salts e. g. neostigmine bromide,114-80-7,,Taiwan
furazolidone,67-45-8,,Taiwan
acenocoumarol,152-72-7,,Taiwan
noscapine  and its salts,128-62-1,,Taiwan
guanethidine  and its salts,55-65-2,,Taiwan
chlortalidone,77-36-1,,Taiwan
pentaerithrityl tetranitrate,78-11-5,,Taiwan
petrichloral,78-12-6,,Taiwan
octamylamine  and its salts,502-59-0,,Taiwan
phenacemide,63-98-9,,Taiwan
n-phthalimide ),133-07-3,,Taiwan
difencloxazine,5617-26-5,,Taiwan
"2-phenylindan-1,3-dione )",83-12-5,,Taiwan
ethylphenacemide ),90-49-3,,Taiwan
phenprocoumon,435-97-2,,Taiwan
fenyramidol,553-69-5,,Taiwan
psilocybine,520-52-5,,Taiwan
thalidomide  and its salts,50-35-1,,Taiwan
"-piperidin-2-ylbenzyl acetate, laevorotatory threoform ) and its salts",24558-01-8,,Taiwan
pipradrol  and its salts,467-60-7,,Taiwan
azacyclonol  and its salts,115-46-8,,Taiwan
heptachlor,76-44-8,,Taiwan
bietamiverine,479-81-2,,Taiwan
butopiprine  and its salts,55837-15-5,,Taiwan
metyrapone,54-36-4,,Taiwan
sparteine  and its salts,90-39-1,,Taiwan
sultiame,61-56-3,,Taiwan
xylometazoline  and its salts,526-36-3,,Taiwan
ethionamide,536-33-4,,Taiwan
phenothiazine  and its compounds,92-84-2,,Taiwan
mephenesin  and its esters,59-47-2,,Taiwan
tranylcypromine  and its salts,155-09-9,,Taiwan
hexachlorocyclohexane,319-84-6/319-85-7/319-86-86108-10-7,,Taiwan
tretamine,51-18-3,,Taiwan
gallamine triethiodide,65-29-2,,Taiwan
ergocalciferol  and cholecalciferol,50-14-6/67-97-0,,Taiwan
dimethyl sulfoxide,67-68-5,,Taiwan
diphenhydramine  and its salts,58-73-1,,Taiwan
dihydrotachysterol,67-96-9,,Taiwan
tripelennamine,91-81-6,,Taiwan
pyrithione sodium,3811-73-2,,Taiwan
"6--2,4-pyrimidinediamine 3-oxide ) and its salts",38304-91-5,,Taiwan
6-methylcoumarin,92-48-8,口腔製劑另有規定者除外. ,Taiwan
hexamethylphosphoric triamide,680-31-9,,Taiwan
"3,4',5-tribromosalicylanilide )",87-10-5,,Taiwan
"amyl 4-dimethylaminobenzoate, mixed isomers )",14779-78-3,,Taiwan
tetrahydrozoline ) and its salts,84-22-0,,Taiwan
lidocaine,137-58-6,,Taiwan
pramocaine,140-65-8,,Taiwan
phytonadione [inci] / phytomenadione [inn],84-80-0/81818-54-4,,Taiwan
thallium and its compounds,7440-28-0,,Taiwan
neodymium and its salts,7440-00-8,,Taiwan
tellurium and its compounds,13494-80-9,,Taiwan
hydrogen cyanide and its salts,74-90-8,,Taiwan
"1-methyl-2,4,5-trihydroxybenzene and its salts",1124-09-0,,Taiwan
"2,6-dihydroxy-4-methylpyridine and its salts",4664-16-8,,Taiwan
"5-hydroxy-1,4-benzodioxane and its salts",10288-36-5,,Taiwan
"3,4-methylenedioxyphenol and its salts",533-31-3,,Taiwan
