url,name,cas_number,ec_number
https://incidecoder.com/ingredients/ascorbic-acid,Ascorbic Acid,50-81-7,200-066-2
https://incidecoder.com/ingredients/ascorbyl-glucoside,Ascorbyl Glucoside,129499-78-1,425-980-0
https://incidecoder.com/ingredients/ascorbyl-palmitate,Ascorbyl Palmitate,137-66-6,205-305-4
https://incidecoder.com/ingredients/asiatic-acid,Asiatic Acid,464-92-6,
https://incidecoder.com/ingredients/asiaticoside,Asiaticoside,16830-15-2,240-851-7
https://incidecoder.com/ingredients/aspartic-acid,Aspartic Acid,56-84-8,200-291-6
https://incidecoder.com/ingredients/astaxanthin,Astaxanthin,472-61-7,207-451-4
https://incidecoder.com/ingredients/astragalus-membranaceus-root-extract,Astragalus Membranaceus Root Extract,94166-93-5,303-391-9
https://incidecoder.com/ingredients/avena-sativa-kernel-extract,Avena Sativa Kernel Extract,84012-26-0,281-672-4
https://incidecoder.com/ingredients/avena-sativa-kernel-flour,Avena Sativa Kernel Flour,134134-86-4,-
https://incidecoder.com/ingredients/azelaic-acid,Azelaic Acid,123-99-9,204-669-1
https://incidecoder.com/ingredients/bakuchiol,Bakuchiol,10309-37-2,
https://incidecoder.com/ingredients/barosma-betulina-leaf-extract,Barosma Betulina Leaf Extract,84649-93-4,283-474-3
https://incidecoder.com/ingredients/behentrimonium-methosulfate,Behentrimonium Methosulfate,81646-13-1,279-791-1
https://incidecoder.com/ingredients/behenyl-alcohol,Behenyl Alcohol,661-19-8,211-546-6
https://incidecoder.com/ingredients/bentonite,Bentonite,1302-78-9,215-108-5
https://incidecoder.com/ingredients/benzoic-acid,Benzoic Acid,65-85-0,200-618-2
https://incidecoder.com/ingredients/benzophenone-3,Benzophenone-3,131-57-7,205-031-5
https://incidecoder.com/ingredients/benzophenone-4,Benzophenone-4,4065-45-6,223-772-2
https://incidecoder.com/ingredients/benzophenone-5,Benzophenone-5,6628-37-1,
https://incidecoder.com/ingredients/benzotriazolyl-dodecyl-p-cresol,Benzotriazolyl Dodecyl P-Cresol,125304-04-3,
https://incidecoder.com/ingredients/benzoyl-peroxide,Benzoyl Peroxide,94-36-0,202-327-6
https://incidecoder.com/ingredients/benzyl-alcohol,Benzyl Alcohol,100-51-6,202-859-9
https://incidecoder.com/ingredients/benzyl-benzoate,Benzyl Benzoate,120-51-4,204-402-9
https://incidecoder.com/ingredients/benzyl-salicylate,Benzyl Salicylate,118-58-1,204-262-9
https://incidecoder.com/ingredients/beraclay-light-red,Beraclay Light Red,,
https://incidecoder.com/ingredients/berberis-vulgaris-root-extract,Berberis Vulgaris Root Extract,84649-92-3,283-473-8
https://incidecoder.com/ingredients/beta-vulgaris-root-extract,Beta Vulgaris Root Extract,89957-89-1,289-610-8
https://incidecoder.com/ingredients/beta-glucan,Beta-Glucan,26874-89-5,
https://incidecoder.com/ingredients/betaine,Betaine,107-43-7,203-490-6
https://incidecoder.com/ingredients/betaine-salicylate,Betaine Salicylate,,
https://incidecoder.com/ingredients/betula-alba-bark-extract,Betula Alba Bark Extract,84012-15-7,281-660-9
https://incidecoder.com/ingredients/bha,BHA,25013-16-5,246-563-8
https://incidecoder.com/ingredients/bht,BHT,128-37-0,204-881-4
https://incidecoder.com/ingredients/bifida-ferment-lysate,Bifida Ferment Lysate,96507-89-0,306-168-4
https://incidecoder.com/ingredients/biosaccharide-gum-1,Biosaccharide Gum-1,194237-89-3,
https://incidecoder.com/ingredients/biosaccharide-gum-2,Biosaccharide Gum-2,283602-75-5,
